word,cat,pos,sentence_frame_before,sentence_frame_after,clarification,eng_freq,aoa_producing,list_type
thirsty,descriptive_words,adjective,To be , is not to be ,,12.29,27,6
full,descriptive_words,adjective,To be , is not to be ,,166.9,28,6
cloud,outside,noun,A , is not a ,,11.75,27,6
orange,descriptive_words,adjective,To be , is not to be ,,22.31,25,6
hose,outside,noun,A , is not a ,,8.06,28,6
Building,action_words,verb,, is not ,,99.57,28,6
bowl,household,noun,A , is not a ,,21.45,23,6
bench,furniture_rooms,noun,A , is not a ,,9.67,>30,6
monkey,animals,noun,A , is not a ,,33.51,22,6
Popcorn,food_drink,noun,, is not ,,9.12,25,6
hard,descriptive_words,adjective,To be , is not to be ,,307.84,28,6
train,vehicles,noun,A , is not a ,,95.06,22,6
bedroom,furniture_rooms,noun,A , is not a ,,36.71,26,6
sock,clothing,noun,A , is not a ,,8.98,22,6
Keys,household,noun,, are not ,,51.0,23,6
man,people,noun,A , is not a ,,1845.75,27,6
Singing,action_words,verb,, is not ,,44.73,25,6
Now,time_words,adverb,, is not ,,3202.61,26,6
Fixing,action_words,verb,, is not ,,10.45,25,6
Tearing,action_words,verb,, is not ,,6.41,>30,6
Drinking,action_words,verb,, is not ,,52.65,23,6
Bumping,action_words,verb,, is not ,,1.84,28,6
Drawing,action_words,verb,, is not ,,16.02,26,6
dog,animals,noun,A , is not a ,,192.84,16,6
Working,action_words,verb,, is not ,,250.49,26,6
aunt,people,noun,An , is not a ,,55.2,27,6
poor,descriptive_words,adjective,To be , is not to be ,,129.08,>30,6
watch ,household,noun,A , is not a ,,330.02,26,6
bus,vehicles,noun,A , is not a ,,74.18,22,6
Pants,clothing,noun,, are not ,,58.75,23,6
balloon,toys,noun,A , is not a ,,8.67,19,6
fine,descriptive_words,adjective,To be , is not to be ,,598.08,>30,6
block,toys,noun,A , is not a ,,40.53,23,6
sink,furniture_rooms,noun,A , is not a ,,16.92,26,6
Waiting,action_words,verb,, is not ,,211.12,27,6
stick,outside,noun,A , is not a ,,97.12,25,6
hot,descriptive_words,adjective,To be , is not to be ,,189.84,19,6
napkin,household,noun,A , is not a ,,3.61,25,6
Wiping,action_words,verb,, is not ,,2.18,27,6
tiger,animals,noun,A , is not a ,,18.53,24,6
Pudding,food_drink,noun,, is not ,,6.16,>30,6
lady,people,noun,A , is not a ,,217.08,28,6
helicopter,vehicles,noun,A , is not a ,,15.8,25,6
Hitting,action_words,verb,, is not ,,23.53,25,6
oven,furniture_rooms,noun,A , is not a ,,8.88,28,6
down,locations,adjective,To be , is not to be ,,1490.27,21,6
lollipop,food_drink,noun,A , is not a ,,1.78,28,6
behind,locations,adjective,To be , is not to be ,,187.86,>30,6
Vanilla,food_drink,noun,, is not ,,3.98,>30,6
party,places,noun,A , is not a ,,233.14,28,6
Riding,action_words,verb,, is not ,,32.0,25,6
moose,animals,noun,A , is not a ,,5.53,>30,6
hat,clothing,noun,A , is not a ,,64.18,19,6
Fitting,action_words,verb,, is not ,,5.59,28,6
boat,vehicles,noun,A , is not a ,,95.78,22,6
house,places,noun,A , is not a ,,514.0,24,6
Soup,food_drink,noun,, is not ,,25.2,25,6
Grandpa,people,noun,A , is not a ,,32.57,19,6
penny,household,noun,A , is not a ,,24.29,28,6
Making,action_words,verb,, is not ,,222.53,28,6
Cooking,action_words,verb,, is not ,,25.63,25,6
Bringing,action_words,verb,, is not ,,44.75,28,6
slipper,clothing,noun,A , is not a ,,2.22,28,6
airplane,vehicles,noun,An , is not a ,,10.92,21,6
Tonight,time_words,noun,, is not ,,412.69,>30,6
zebra,animals,noun,A , is not a ,,2.51,25,6
boy,people,noun,A , is not a ,,529.82,25,6
strawberry,food_drink,noun,A , is not a ,,5.53,23,6
Cereal,food_drink,noun,, is not ,,6.35,23,6
Hearing,action_words,verb,, is not ,,44.73,28,6
bicycle,vehicles,noun,A , is not a ,,6.61,23,6
tape,household,noun,A piece of , is not a ,,68.84,27,6
melon,food_drink,noun,A , is not a ,,4.27,28,6
