word,cat,pos,sentence_frame_before,sentence_frame_after,clarification,eng_freq,aoa_producing,list_type
Cereal,food_drink,noun,, is not ,,,,2
Glasses,household,noun,, are not ,(for your eyes) ,33.12,24,2
bunny,animals,noun,A , is not a ,,,,2
drawer,furniture_rooms,noun,A , is not a ,,,,2
frog,animals,noun,A , is not a ,,,,2
porch,furniture_rooms,noun,A , is not a ,,,,2
Sliding,action_words,verb,, is not ,,,,2
Soap,household,noun,, is not a ,,,,2
morning,time_words,noun,A , is not a ,,,,2
sneaker,clothing,noun,A , is not a ,,,,2
Writing,action_words,verb,, is not ,,,,2
donkey,animals,noun,A , is not a ,,,,2
nose,body_parts,noun,A , is not a ,,,,2
nurse,people,noun,A , is not a ,,,,2
cow,animals,noun,A , is not a ,,,,2
Hating,action_words,verb,, is not ,,,,2
tiger,animals,noun,A , is not a ,,,,2
long,descriptive_words,adjective,To be , is not to be ,,,,2
boat,vehicles,noun,A , is not a ,,,,2
Fish,food_drink,noun,, is not ,(food) ,,,2
belly button,body_parts,noun,A , is not a ,,,,2
lamp,household,noun,A , is not a ,,,,2
Drawing,action_words,verb,, is not ,,,,2
Falling,action_words,verb,, is not ,,,,2
street,outside,noun,A , is not a ,,,,2
empty,descriptive_words,adjective,To be , is not to be ,,,,2
Pushing,action_words,verb,, is not ,,,,2
home,places,noun,A , is not a ,,,,2
Staying,action_words,verb,, is not ,,,,2
scarf,clothing,noun,A , is not a ,,,,2
plant,household,noun,A , is not a ,,,,2
present,toys,noun,A , is not a ,,,,2
Cleaning,action_words,verb,, is not ,,,,2
last,descriptive_words,adjective,To be , is not to be ,,,,2
finger,body_parts,noun,A , is not a ,,,,2
Blowing,action_words,verb,, is not ,,,,2
towel,household,noun,A , is not a ,,,,2
Medicine,household,noun,, is not ,,,,2
box,household,noun,A , is not a ,,,,2
Walking,action_words,verb,, is not ,,,,2
Dad,people,noun,A , is not a ,,,,2
purse,household,noun,A , is not a ,,,,2
shirt,clothing,noun,A , is not a ,,,,2
Singing,action_words,verb,, is not ,,,,2
hand,body_parts,noun,A , is not a ,,,,2
Chasing,action_words,verb,, is not ,,,,2
Riding,action_words,verb,, is not ,,,,2
glass,household,noun,A , is not a ,(vessel),,,2
sister,people,noun,A , is not a ,,,,2
rock,outside,noun,A , is not a ,,,,2
better,descriptive_words,adjective,To be , is not to be ,,,,2
Closing,action_words,verb,, is not ,,,,2
Coffee,food_drink,noun,, is not ,,,,2
Later,time_words,adverb,, is not ,,,,2
bucket,household,noun,A , is not a ,,,,2
Painting,action_words,verb,, is not ,,,,2
duck,animals,noun,A , is not a ,,,,2
nap,games_routines,noun,A , is not a ,,,,2
truck,vehicles,noun,A , is not a ,,,,2
Drinking,action_words,verb,, is not ,,,,2
Lunch,games_routines,noun,, is not ,,,,2
heavy,descriptive_words,adjective,To be , is not to be ,,,,2
dryer,furniture_rooms,noun,A , is not a ,,,,2
hen,animals,noun,A , is not a ,,,,2
Working,action_words,verb,, is not ,,,,2
wolf,animals,noun,A , is not a ,,,,2
gentle,descriptive_words,adjective,To be , is not to be ,,,,2
stove,furniture_rooms,noun,A , is not a ,,,,2
face,body_parts,noun,A , is not a ,,,,2
sun,outside,noun,A , is not a ,,,,2
sandwich,food_drink,noun,A , is not a ,,,,2
uncle,people,noun,A , is not a ,,,,2
mouse,animals,noun,A , is not a ,,,,2
Peas,food_drink,noun,, are not ,,,,2
tissue,household,noun,A , is not a ,,,,2
