word,cat,pos,sentence_frame_before,sentence_frame_after,clarification,eng_freq,aoa_producing
Glasses,household,noun,, are not ,(for your eyes) ,33.12,XXX
alligator,animals,noun,An , is not a ,,3.49,XXX
Running,action_words,verb,, is not ,,XXX,XXX
awake,descriptive_words,adjective,To be , is not to be ,,26.71,XXX
Yesterday,time_words,noun,, is not ,,96.76,XXX
